name,developer,location,min_price,max_price,avg_price,min_area,max_area,avg_area,min_bedrooms,max_bedrooms,delivery_year,project_url,unit_count,price_range
SHABABEEK,marquee development,New Cairo,3200000,17220000,8359498.333333333,46,231,114.33333333333331,1,3,2025.0,https://www.propertyhub.site/properties/projects/r7l8jysq4vjphidl9xed?page=1,6,"3,200,000 - 17,220,000"
Ramatan Compound,Ramatan Developments,New Capital,6549828,9449650,7946962.0,120,190,150.0,2,3,2025.0,https://www.propertyhub.site/properties/projects/ramatan_compound?page=1,7,"6,549,828 - 9,449,650"
Rivan new capital,Altameer Arabian,New Capital,9302329,38976600,20107895.166666668,129,547,306.5,2,5,2025.0,https://www.propertyhub.site/properties/projects/rivan_new_capital?page=1,6,"9,302,329 - 38,976,600"
Rivers,Tatweer Misr,,9675000,54351000,22128521.739130437,120,350,190.5507246376812,2,6,2025.0,https://www.propertyhub.site/properties/projects/rivers?page=1,69,"9,675,000 - 54,351,000"
Riviera Heights,Nouva Stanza,New Cairo,48478000,60722000,52440200.0,5,396,317.8,3,3,2025.0,https://www.propertyhub.site/properties/projects/riviera_heights?page=1,5,"48,478,000 - 60,722,000"
Nyoum October,ADH Holding,6th Of October,4176000,55000000,17209000.0,72,744,244.28571428571428,1,7,2025.0,https://www.propertyhub.site/properties/projects/rptucxnjz0j6l56jwb8i?page=1,7,"4,176,000 - 55,000,000"
Granville,founders,New Capital,26390000,83000000,45826000.0,246,735,406.2,4,7,2025.0,https://www.propertyhub.site/properties/projects/rwidyexdr7mg0yls3m1h?page=1,5,"26,390,000 - 83,000,000"
Degla Towers,Meamar Al Morshedy,Nasr City,4895100,11510100,7561145.454545454,111,261,171.45454545454547,2,3,2025.0,https://www.propertyhub.site/properties/projects/rxmesbxygkr3f13xlmdl?page=1,11,"4,895,100 - 11,510,100"
Kite,Centrada,6th Of October,4498200,21420000,9107408.8,80,400,163.36,1,4,2025.0,https://www.propertyhub.site/properties/projects/s1pj3ja3v4g92pg3n3sm?page=1,25,"4,498,200 - 21,420,000"
RED,Cornerstone,El Mostakbal City,4488330,46580000,16640174.1875,73,370,192.9375,1,5,2025.0,https://www.propertyhub.site/properties/projects/s3qkf4vmgr6tf5val9yh?page=1,16,"4,488,330 - 46,580,000"
Lugano Ras Sudr,AOG,,1710000,1710000,1710000.0,80,80,80.0,2,2,2025.0,https://www.propertyhub.site/properties/projects/s7sja3di37vyasm39ur2?page=1,1,"1,710,000 - 1,710,000"
Salt,Tatweer Misr,North Coast,9316000,97176000,19022713.67521368,80,290,120.8974358974359,1,5,2025.0,https://www.propertyhub.site/properties/projects/salt?page=1,234,"9,316,000 - 97,176,000"
Sarai,MNHD,New Cairo,4709295,27241990,13046357.89790576,1,239,115.27225130890052,1,5,2025.0,https://www.propertyhub.site/properties/projects/sarai?page=1,764,"4,709,295 - 27,241,990"
Scenario,Akam,New Capital,7846575,29564106,11939377.36,132,554,223.4,2,5,2025.0,https://www.propertyhub.site/properties/projects/scenario?page=1,25,"7,846,575 - 29,564,106"
Scene 7,Akam,New Capital,6927632,16114375,9936709.736842103,124,230,163.94736842105263,2,4,2025.0,https://www.propertyhub.site/properties/projects/scene_7?page=1,38,"6,927,632 - 16,114,375"
Rock Eden,Rock,6th Of October,5010000,28287582,15410084.307228915,25,564,267.9759036144578,3,5,2025.0,https://www.propertyhub.site/properties/projects/sch7l0mseozx0to0tbsg?page=1,166,"5,010,000 - 28,287,582"
Notion,Town Writers,New Cairo,2652000,30000000,11381764.705882354,51,240,159.47058823529412,1,5,2025.0,https://www.propertyhub.site/properties/projects/sd4kidyccq4u6d4e5wp8?page=1,17,"2,652,000 - 30,000,000"
YOUD,Al Ahly Sabbour,North Coast,8092000,77591000,20071204.419889502,85,220,124.50276243093924,2,5,2025.0,https://www.propertyhub.site/properties/projects/sea_view?page=1,181,"8,092,000 - 77,591,000"
Seazen,Alqamzi,North Coast,15244000,120000000,28901200.0,110,475,173.27272727272728,3,7,2025.0,https://www.propertyhub.site/properties/projects/seazen?page=1,55,"15,244,000 - 120,000,000"
Serrano,New Plan,New Capital,8255000,25940000,18360625.0,117,315,217.375,3,4,2025.0,https://www.propertyhub.site/properties/projects/serrano?page=1,8,"8,255,000 - 25,940,000"
Matarma Beach,Nouva Stanza,,3784000,10944000,5446046.511627907,62,120,78.6046511627907,1,2,2025.0,https://www.propertyhub.site/properties/projects/sfvpshagkllneofqogo9?page=1,129,"3,784,000 - 10,944,000"
Silver Sands,ORA,North Coast,27035000,129920000,42384064.28571428,120,298,174.9,2,6,2025.0,https://www.propertyhub.site/properties/projects/silver_sands?page=1,140,"27,035,000 - 129,920,000"
Six West,Sodic,Sheikh Zayed City,28874720,28874720,28874720.0,158,158,158.0,2,2,2025.0,https://www.propertyhub.site/properties/projects/six_west?page=1,1,"28,874,720 - 28,874,720"
Sodic East,Sodic,,12080000,70045000,35038467.62589928,125,427,228.2661870503597,2,6,2025.0,https://www.propertyhub.site/properties/projects/sodic_east?page=1,139,"12,080,000 - 70,045,000"
Solana West,ORA,,15660000,54129000,29031609.756097563,126,239,180.14634146341464,2,7,2025.0,https://www.propertyhub.site/properties/projects/solana?page=1,41,"15,660,000 - 54,129,000"
W Signature,Waterway,New Cairo,15652000,67962000,28126230.769230768,118,483,213.0,1,4,2025.0,https://www.propertyhub.site/properties/projects/spqmn8ehmxi1aw46mb5a?page=1,13,"15,652,000 - 67,962,000"
Square October,Cleopatra,6th Of October,23479340,80664790,49790874.0625,8,92,43.0,3,6,2025.0,https://www.propertyhub.site/properties/projects/square_october?page=1,16,"23,479,340 - 80,664,790"
Stei8ht,LMD,New Cairo,52000000,104000000,74250000.0,390,615,497.875,4,4,2025.0,https://www.propertyhub.site/properties/projects/steig8ht?page=1,8,"52,000,000 - 104,000,000"
Stone Residence,PRE,New Cairo,10850000,14960000,12905000.0,140,175,157.5,2,3,2025.0,https://www.propertyhub.site/properties/projects/stone_residence?page=1,2,"10,850,000 - 14,960,000"
Oro Obour,AMG,Elobour City,14083125,23561508,18160325.222222224,302,500,368.8888888888889,3,5,2025.0,https://www.propertyhub.site/properties/projects/su4w5ybxcnr5xpte98le?page=1,9,"14,083,125 - 23,561,508"
Elaia,namya development,,2674000,27050000,10902666.666666666,52,260,156.38888888888889,1,5,2025.0,https://www.propertyhub.site/properties/projects/sulkukteac4gl8s0dbwn?page=1,18,"2,674,000 - 27,050,000"
Sun Capital,Arabia,6th Of October,7035000,27770000,14366854.222222222,104,267,175.33333333333334,2,4,2025.0,https://www.propertyhub.site/properties/projects/sun_capital?page=1,9,"7,035,000 - 27,770,000"
Swanlake Residence,Hassan Allam,New Cairo,14100000,41900000,24899090.90909091,92,275,135.0,1,3,2025.0,https://www.propertyhub.site/properties/projects/swanlake_residence?page=1,11,"14,100,000 - 41,900,000"
Solare,Misr Italia,North Coast,13076664,45105000,25008245.777777776,100,294,176.72222222222223,2,5,2025.0,https://www.propertyhub.site/properties/projects/sz67hgslgxxvcj2pt0tf?page=1,18,"13,076,664 - 45,105,000"
Qamari,New Event,New Capital,4864564,9004334,7072765.2,108,227,166.5,2,4,2025.0,https://www.propertyhub.site/properties/projects/t343sc3kgrv239kficto?page=1,10,"4,864,564 - 9,004,334"
Ever New Cairo,cred,,4565300,33420013,13885379.016129032,60,318,140.9193548387097,1,4,2025.0,https://www.propertyhub.site/properties/projects/t5oj6vfo0dg89ab07djg?page=1,62,"4,565,300 - 33,420,013"
Taj City,MNHD,New Cairo,9561725,12958667,10492559.714285716,13,31,18.142857142857142,1,3,2025.0,https://www.propertyhub.site/properties/projects/taj_city?page=1,7,"9,561,725 - 12,958,667"
TALAH,New Plan,New Capital,10681000,28151000,15501346.153846154,151,425,232.73076923076923,2,5,2025.0,https://www.propertyhub.site/properties/projects/talah_new_plan?page=1,26,"10,681,000 - 28,151,000"
Telal Elsokhna,Roya,,8874000,12556200,11392175.0,97,134,113.5,2,3,2025.0,https://www.propertyhub.site/properties/projects/talal?page=1,8,"8,874,000 - 12,556,200"
TAWNY,Hyde Park,6th Of October,26380000,47940000,33379230.769230768,208,288,249.07692307692307,4,5,2025.0,https://www.propertyhub.site/properties/projects/tawny?page=1,13,"26,380,000 - 47,940,000"
LUGANO EL GALALA,AOG,,2358000,4819500,3712125.0,40,125,85.0,0,4,2025.0,https://www.propertyhub.site/properties/projects/tdluf2slwfnxhquxdfqb?page=1,4,"2,358,000 - 4,819,500"
Riviera Beach 2,Nouva Stanza,,5016000,7000000,6433200.0,120,120,120.0,2,2,2025.0,https://www.propertyhub.site/properties/projects/tdtf8gu0i45axiok563u?page=1,5,"5,016,000 - 7,000,000"
The Capitalway,Waterway,New Capital,7343000,27242000,12513824.56140351,90,338,170.31578947368422,1,5,2025.0,https://www.propertyhub.site/properties/projects/the_capitalway?page=1,57,"7,343,000 - 27,242,000"
The City,Master Group,New Capital,7363130,11024209,9449297.333333334,154,198,172.16666666666666,3,4,2025.0,https://www.propertyhub.site/properties/projects/the_city?page=1,6,"7,363,130 - 11,024,209"
The Estates Residence,Sodic,,18629000,82812000,44660430.55555555,1,338,134.79166666666666,2,5,2025.0,https://www.propertyhub.site/properties/projects/the_estates?page=1,72,"18,629,000 - 82,812,000"
The Groove,DM Development,,7761000,38500000,16689181.818181818,70,250,157.0,1,4,2025.0,https://www.propertyhub.site/properties/projects/the_groove?page=1,11,"7,761,000 - 38,500,000"
Icon Gardens,Style Home,New Cairo,5497500,14552000,8442772.727272727,115,262,160.54545454545453,2,4,2025.0,https://www.propertyhub.site/properties/projects/the_icon_gardens?page=1,11,"5,497,500 - 14,552,000"
The Loft,Living Yard,New Capital,7885367,21656463,12197286.5,143,404,226.91666666666663,2,5,2025.0,https://www.propertyhub.site/properties/projects/the_loft?page=1,12,"7,885,367 - 21,656,463"
The Marq Gardens,The Marq,New Cairo,29300000,46800000,36260000.0,245,295,268.0,3,5,2025.0,https://www.propertyhub.site/properties/projects/the_marq?page=1,5,"29,300,000 - 46,800,000"
The Median,EGYGAB,New Cairo,5014000,23469000,11177850.0,75,231,146.95,1,4,2025.0,https://www.propertyhub.site/properties/projects/the_median?page=1,20,"5,014,000 - 23,469,000"
Sea Shore,Hyde Park,North Coast,8300000,39250000,15550980.392156864,65,121414,5896.450980392156,1,4,2025.0,https://www.propertyhub.site/properties/projects/the_shore?page=1,51,"8,300,000 - 39,250,000"
The Terrace,HDP,Sheikh Zayed City,10208830,20379840,12921116.285714284,140,250,167.14285714285714,3,4,2025.0,https://www.propertyhub.site/properties/projects/the_tarrece?page=1,14,"10,208,830 - 20,379,840"
The View Waterway,Waterway,New Cairo,22676000,68737000,30970338.23529412,142,422,202.41176470588235,2,4,2025.0,https://www.propertyhub.site/properties/projects/the_view_water_way?page=1,68,"22,676,000 - 68,737,000"
The Wonder Marq,The Marq,El Mostakbal City,13640000,84900000,31963600.0,120,525,258.6,2,7,2025.0,https://www.propertyhub.site/properties/projects/the_wonder_marq?page=1,25,"13,640,000 - 84,900,000"
Isola Centra,ElMasria Group,New Cairo,7240000,15060000,11096666.666666666,114,210,151.5,2,3,2025.0,https://www.propertyhub.site/properties/projects/tlhd6y17qtrtdf85gj4y?page=1,6,"7,240,000 - 15,060,000"
Town Gate,Smart View,New Capital,6859000,8575000,7917066.666666667,187,245,211.16666666666663,3,3,2025.0,https://www.propertyhub.site/properties/projects/town_gate?page=1,6,"6,859,000 - 8,575,000"
Trio,M Squared,New Cairo,15498336,30044440,22651811.2,7,265,149.6,2,5,2025.0,https://www.propertyhub.site/properties/projects/trio_gardens?page=1,10,"15,498,336 - 30,044,440"
Acacia,Al Rashed Developments,6th Of October,4140000,4550000,4398000.0,150,175,170.0,3,3,2025.0,https://www.propertyhub.site/properties/projects/tron19a1r8czxmgsl0hu?page=1,5,"4,140,000 - 4,550,000"
Zayed Greens 2,ZG Developments,6th Of October,18430000,18430000,18430000.0,362,362,362.0,4,4,2025.0,https://www.propertyhub.site/properties/projects/tryc1c1h0dc879shuo3l?page=1,1,"18,430,000 - 18,430,000"
Maliv,Kulture,,3257250,22545000,10207495.161290323,43,298,138.48387096774192,0,4,2025.0,https://www.propertyhub.site/properties/projects/ts769qjt6c0j50mrqhqg?page=1,62,"3,257,250 - 22,545,000"
Solimar green 1,solimar,6th Of October,12000000,12000000,12000000.0,209,209,209.0,3,3,2025.0,https://www.propertyhub.site/properties/projects/tz4poha4y4be41hglcwv?page=1,1,"12,000,000 - 12,000,000"
solimar green 5,solimar,6th Of October,7800000,10360000,8830000.0,270,300,287.5,3,3,2025.0,https://www.propertyhub.site/properties/projects/u9wc45mmhaj9lcgbddhf?page=1,4,"7,800,000 - 10,360,000"
rovan city,EPD,Sheikh Zayed City,6964000,11981000,9489422.3,150,195,173.7,3,3,2025.0,https://www.propertyhub.site/properties/projects/ueswwapkxp1yc5wvtw7s?page=1,10,"6,964,000 - 11,981,000"
Zat,Voya,6th Of October,3094864,6657140,4708890.333333333,69,128,98.0,1,3,2025.0,https://www.propertyhub.site/properties/projects/ufh824cyve6j1fshj5pg?page=1,3,"3,094,864 - 6,657,140"
Sky Line,Meamar Al Morshedy,,2864000,12134600,7589340.0,40,166,104.73333333333332,0,4,2025.0,https://www.propertyhub.site/properties/projects/ufk4gj3fzuxh7x93l4i6?page=1,15,"2,864,000 - 12,134,600"
LYV,Gates,North Coast,10235575,23370561,13845525.736842103,85,175,120.98684210526316,2,3,2025.0,https://www.propertyhub.site/properties/projects/ugxzfcuvorj2jsexxuc0?page=1,76,"10,235,575 - 23,370,561"
BAYSIDE,ELATTAL Holding,,4976000,8404000,5535250.0,75,90,76.66666666666667,1,1,2025.0,https://www.propertyhub.site/properties/projects/ul52mgjj6zza3e7ubtx9?page=1,36,"4,976,000 - 8,404,000"
KAIRO,Waterway,New Cairo,41869000,68970000,55419500.0,125,190,157.5,1,2,2025.0,https://www.propertyhub.site/properties/projects/ult3104h5u2i75kafycy?page=1,2,"41,869,000 - 68,970,000"
Chelsea,Damac,,2593000,7059000,4171625.0,6013,88663,33325.875,1,3,2025.0,https://www.propertyhub.site/properties/projects/uniclr00q3wn2w0xhvo8?page=1,8,"2,593,000 - 7,059,000"
ATLANTIS,CASTELLO,,3672500,10553373,6113757.083333333,45,213,102.41666666666669,0,3,2025.0,https://www.propertyhub.site/properties/projects/uqmqmv1l97ccsv7zoplj?page=1,12,"3,672,500 - 10,553,373"
Stella Hightes,Remco,,5000000,6500000,5750000.0,120,120,120.0,3,3,2025.0,https://www.propertyhub.site/properties/projects/uwsthtocb1l85i3bsd2l?page=1,2,"5,000,000 - 6,500,000"
Diplo east,MBG Development,New Capital,6000000,46000000,16608312.5,110,398,201.125,2,4,2025.0,https://www.propertyhub.site/properties/projects/v0iz4xo8rt828re3brlm?page=1,16,"6,000,000 - 46,000,000"
NEST New Cairo,Nawassy,,6875000,10853000,8334825.0,125,180,146.5,2,3,2025.0,https://www.propertyhub.site/properties/projects/v12dyr9ng0pcghqgy0uk?page=1,10,"6,875,000 - 10,853,000"
Sansa NorthCoast,Premier,North Coast,2310000,4940000,3335000.0,50,85,66.66666666666667,1,2,2025.0,https://www.propertyhub.site/properties/projects/v625w88eyort7dgrvx7f?page=1,9,"2,310,000 - 4,940,000"
4T1,VAI Developments,New Capital,8881322,17302467,12929203.5,57,120,85.75,1,2,2025.0,https://www.propertyhub.site/properties/projects/v6rhrxka2updk8mg2dn6?page=1,4,"8,881,322 - 17,302,467"
new sky heliopolis,Better House,,4746000,7458000,5688420.0,140,220,167.8,3,3,2025.0,https://www.propertyhub.site/properties/projects/v7pnnqsaz2kzdif806wi?page=1,10,"4,746,000 - 7,458,000"
V Level,Dunes,6th Of October,13993000,29395000,20278200.0,186,288,238.6,3,4,2025.0,https://www.propertyhub.site/properties/projects/v_levels?page=1,5,"13,993,000 - 29,395,000"
Rayhanah Avenue,Meamar Al Morshedy,,4664700,11565900,7683136.363636363,73,181,121.8181818181818,1,3,2025.0,https://www.propertyhub.site/properties/projects/veeqnciqvapvymwdknsp?page=1,11,"4,664,700 - 11,565,900"
Marsa Baghush,Marsa Baghush,North Coast,16728000,63036000,34697870.31818182,130,403,237.63636363636363,2,7,2025.0,https://www.propertyhub.site/properties/projects/vglfy7vjotnv2nd4nm3g?page=1,22,"16,728,000 - 63,036,000"
Key of Greens,Tabarak Developments,,19697826,43267820,27758151.125,168,293,211.54166666666663,3,6,2025.0,https://www.propertyhub.site/properties/projects/vhr03sx6fak088g0v0zi?page=1,24,"19,697,826 - 43,267,820"
Village West,Dorra,Sheikh Zayed City,9790000,35000000,18369948.71794872,89,270,173.7948717948718,1,6,2025.0,https://www.propertyhub.site/properties/projects/village_west?page=1,39,"9,790,000 - 35,000,000"
Villette,Sodic,New Cairo,15227000,60646000,37135370.0,81,318,190.1,1,4,2025.0,https://www.propertyhub.site/properties/projects/villette?page=1,20,"15,227,000 - 60,646,000"
Vinci New Capital,Misr Italia,New Capital,9300000,36390433,18495601.42857143,134,350,242.78571428571428,2,4,2025.0,https://www.propertyhub.site/properties/projects/vinci?page=1,14,"9,300,000 - 36,390,433"
Latin City,City Edge,North Coast,6184000,15389000,10697496.919917865,117,259,203.39425051334703,1,4,2025.0,https://www.propertyhub.site/properties/projects/vkomksk3zq8k3g75yefb?page=1,487,"6,184,000 - 15,389,000"
Makadi Heights,Orascom Development,,7165000,38760000,16484787.234042551,62,197,123.90425531914892,1,4,2025.0,https://www.propertyhub.site/properties/projects/vl2c1xjf84eqxefa1q56?page=1,94,"7,165,000 - 38,760,000"
Lake Front,Meamar Al Morshedy,6th Of October,7467500,10735000,8866316.7,142,173,153.8,2,3,2025.0,https://www.propertyhub.site/properties/projects/vp47xwaj04y5031pvfcc?page=1,10,"7,467,500 - 10,735,000"
The Valleys,Hassan Allam,El Mostakbal City,22700000,49800000,37087500.0,165,300,215.375,4,7,2025.0,https://www.propertyhub.site/properties/projects/vppwqqbn151b4gl01vol?page=1,8,"22,700,000 - 49,800,000"
STORIA DEL MARE,CASTELLO,,4140000,20700000,8057891.774193549,41,138,74.64516129032258,0,3,2025.0,https://www.propertyhub.site/properties/projects/vvfy2tgsx6n4d0mz3vgv?page=1,31,"4,140,000 - 20,700,000"
Jadie,Concrete Development,New Cairo,3656664,11000000,7224543.4,72,180,134.0,1,4,2025.0,https://www.propertyhub.site/properties/projects/vwf0gfqziuaz24vjd5yj?page=1,5,"3,656,664 - 11,000,000"
elora,Arabia,,13450000,28200000,20477500.0,174,260,220.5,3,5,2025.0,https://www.propertyhub.site/properties/projects/vyfwze4yseogbajbfit2?page=1,4,"13,450,000 - 28,200,000"
THE HARV,Dal,Sheikh Zayed City,6209480,15085825,8531723.60483871,112,224,143.00806451612902,2,3,2025.0,https://www.propertyhub.site/properties/projects/vymwg4uwn65tz3zyr4y2?page=1,124,"6,209,480 - 15,085,825"
ISOLA VILLA,ElMasria Group,6th Of October,11630000,15290333,13060066.6,269,320,294.4,4,5,2025.0,https://www.propertyhub.site/properties/projects/w50x9bnxcdolldl3gq52?page=1,5,"11,630,000 - 15,290,333"
31WEST,M Squared,6th Of October,9391200,25083333,15704090.47368421,70,175,123.55263157894736,1,3,2025.0,https://www.propertyhub.site/properties/projects/w5v5n9ejzjphmndqa8gv?page=1,76,"9,391,200 - 25,083,333"
Water Way North Coast,Waterway,North Coast,23225000,275000000,50917142.85714286,135,490,269.1224489795918,2,8,2025.0,https://www.propertyhub.site/properties/projects/water_way_north_coast?page=1,49,"23,225,000 - 275,000,000"
Talala,MNHD,,3112354,36952784,12012301.495238096,1,220,15.844257703081231,1,5,2025.0,https://www.propertyhub.site/properties/projects/wgfgnil10bqac4e5nf92?page=1,1785,"3,112,354 - 36,952,784"
VALLEY VIEW 2,Brixton,6th Of October,12017500,17100000,14139166.666666666,248,277,267.3333333333333,4,4,2025.0,https://www.propertyhub.site/properties/projects/wi8dl3oczqz91vscul1v?page=1,3,"12,017,500 - 17,100,000"
Saada Sahel,Horizon Egypt,North Coast,37114740,386143000,100641944.0,175,313,232.2,4,6,2025.0,https://www.propertyhub.site/properties/projects/wrs2zb9gj8kgt04jywig?page=1,10,"37,114,740 - 386,143,000"
city oval,Master Group,New Capital,4149391,11131662,7157574.0,93,326,191.33333333333331,2,4,2025.0,https://www.propertyhub.site/properties/projects/wujbbfdgg9ivlfambowf?page=1,3,"4,149,391 - 11,131,662"
koun,Mabany Edris,North Coast,7600000,50731192,23976047.486486487,57,286,141.75675675675674,1,7,2025.0,https://www.propertyhub.site/properties/projects/xko70hgfybvzlyt2ts1w?page=1,37,"7,600,000 - 50,731,192"
Regent's Square,AlDawlia,New Cairo,10628966,32634381,16006771.705263158,106,344,159.7263157894737,2,3,2025.0,https://www.propertyhub.site/properties/projects/xo8xlmk4r2636wyjuaol?page=1,95,"10,628,966 - 32,634,381"
ROCK YARD,Rock,,6756281,11820945,8631479.525252525,116,209,145.4747474747475,2,3,2025.0,https://www.propertyhub.site/properties/projects/y1ii4sq17xo89tvf8t58?page=1,99,"6,756,281 - 11,820,945"
Q North,Q Development,North Coast,6700000,16200000,10533333.333333334,90,200,136.66666666666666,2,4,2025.0,https://www.propertyhub.site/properties/projects/y2hhx6obfb469ybb4xd1?page=1,3,"6,700,000 - 16,200,000"
IL Bayou,TLD-The Land Developers,,9318000,23610000,17586666.666666668,112,212,170.0,2,5,2025.0,https://www.propertyhub.site/properties/projects/y52qnuet8ll4shiqk4hl?page=1,6,"9,318,000 - 23,610,000"
EELAF,ERG,New Cairo,5764484,17345234,10275531.215686277,84,230,146.47058823529412,1,4,2025.0,https://www.propertyhub.site/properties/projects/y5zs9ze9w9laph35bsuh?page=1,51,"5,764,484 - 17,345,234"
Hacienda Blue,Palm Hills,North Coast,19627000,67012000,24252495.327102803,5,278,35.06542056074766,1,7,2025.0,https://www.propertyhub.site/properties/projects/y8hd010u535c0t9lghm5?page=1,107,"19,627,000 - 67,012,000"
Nmq,Melee Developments,6th Of October,8734163,32509000,21479797.42857143,77,295,194.3265306122449,1,5,2025.0,https://www.propertyhub.site/properties/projects/y9aeu8tllrqfrady0t0a?page=1,49,"8,734,163 - 32,509,000"
Yaru,Qontrac,New Capital,5499000,18965917,9681114.1,2,227,119.4,2,3,2025.0,https://www.propertyhub.site/properties/projects/yaru_new_capital?page=1,10,"5,499,000 - 18,965,917"
Serenity,معمار الاشراف,Elobour City,3081420,6740606,5400353.714285715,120,180,165.64285714285714,2,3,2025.0,https://www.propertyhub.site/properties/projects/ylroi7fd1q6sjifgeoj4?page=1,28,"3,081,420 - 6,740,606"
Elysium,Line,Sheikh Zayed City,4165800,9287000,7465800.0,79,195,129.28571428571428,1,4,2025.0,https://www.propertyhub.site/properties/projects/yu2ggofxmpfrvtozrmep?page=1,7,"4,165,800 - 9,287,000"
Yellow,Urbnlanes,New Cairo,6542000,15715728,11475488.8,70,140,96.2,0,2,2025.0,https://www.propertyhub.site/properties/projects/yuwi2twd326rswxr3msa?page=1,5,"6,542,000 - 15,715,728"
Wanas,Master Group,North Coast,3519000,4770000,4113000.0,72,143,104.0,1,3,2025.0,https://www.propertyhub.site/properties/projects/yvzxp7olexsz9dhuktzi?page=1,3,"3,519,000 - 4,770,000"
Lora,Zaeem Holding,Badr City,1690000,4134000,3163333.333333333,65,159,121.66666666666669,1,3,2025.0,https://www.propertyhub.site/properties/projects/z5t1tqghlfnsa32pc9st?page=1,9,"1,690,000 - 4,134,000"
Zahra,Meamar Al Morshedy,North Coast,6130000,10780000,7882000.0,74,116,87.6,2,3,2025.0,https://www.propertyhub.site/properties/projects/zahra?page=1,5,"6,130,000 - 10,780,000"
LandMark,Meamar Al Morshedy,Nasr City,2528500,5640500,4035875.0,65,145,103.75,0,3,2025.0,https://www.propertyhub.site/properties/projects/zbz3objbg50uv8vmerid?page=1,8,"2,528,500 - 5,640,500"
Zed East,ORA,,9045000,33866091,20409900.524590164,59,206,126.49180327868852,0,4,2025.0,https://www.propertyhub.site/properties/projects/zed_east?page=1,61,"9,045,000 - 33,866,091"
Zed West,ORA,Sheikh Zayed City,9313000,28704000,16305029.411764706,60,197,107.70588235294116,0,3,2025.0,https://www.propertyhub.site/properties/projects/zed_west?page=1,68,"9,313,000 - 28,704,000"
Arabesque Fustat,SED,,6365000,9588000,7420163.043478261,9,156,50.08695652173913,2,3,2025.0,https://www.propertyhub.site/properties/projects/zgmlydq2z4oe45kqlm4o?page=1,92,"6,365,000 - 9,588,000"
Zizinia,Ardic,El Mostakbal City,4017000,14375000,8345000.0,103,425,246.9,1,3,2025.0,https://www.propertyhub.site/properties/projects/zizniz?page=1,10,"4,017,000 - 14,375,000"
Zoya,LMD,North Coast,11000000,200000000,58908333.333333336,66,945,308.5,1,9,2025.0,https://www.propertyhub.site/properties/projects/zoya?page=1,12,"11,000,000 - 200,000,000"
PAVIA,TAJ,Sheikh Zayed City,6658550,9447750,7752759.1,163,225,184.0,3,4,2025.0,https://www.propertyhub.site/properties/projects/zvll6hrzrjt7ax2i64b0?page=1,10,"6,658,550 - 9,447,750"
Coy,Voya,Sheikh Zayed City,2208000,4769333,3684047.5714285714,46,108,78.71428571428571,0,2,2025.0,https://www.propertyhub.site/properties/projects/zxo6f8i6ximgn9foceyg?page=1,7,"2,208,000 - 4,769,333"
